id,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT
gabe_york_ind_23,29.0,3,0.333,18.6,127.7,110.3,17.4,0.109,0.0,0.054,0.548,0.173,0.073,119,2.7,7.0,0.381
gabr_lundberg_pho_22,27.0,4,0.25,11.1,121.4,103.1,18.3,0.268,3.67,0.076,0.342,0.191,0.047,98,1.3,4.8,0.263
garr_temple_tot_19,33.0,75,0.493,27.2,105.2,106.8,-1.6,0.075,1.51,0.053,0.543,0.131,0.052,4210,2.8,6.6,0.422
garr_mathews_was_20,23.0,18,0.444,12.6,111.8,104.7,7.1,0.063,1.25,0.05,0.691,0.137,0.078,492,1.3,3.1,0.429
garr_mathews_was_21,24.0,64,0.5,16.2,107.7,113.4,-5.6,0.032,2.6,0.04,0.635,0.111,0.052,2299,1.5,3.7,0.409
garr_mathews_tot_23,26.0,54,0.296,12.7,103.1,109.5,-6.4,0.057,1.37,0.048,0.573,0.139,0.064,1461,1.4,3.7,0.363
garr_mathews_ind_26,29.0,15,0.267,13.1,107.3,108.0,-0.7,0.069,3.33,0.042,0.628,0.134,0.072,425,1.4,3.5,0.404
gary_clark_hou_19,24.0,51,0.647,12.6,111.8,109.8,2.0,0.04,2.57,0.087,0.48,0.106,0.061,1331,1.0,3.0,0.331
gary_clark_nop_22,27.0,38,0.526,10.0,105.6,107.8,-2.1,0.067,1.8,0.115,0.547,0.11,0.087,797,0.9,2.3,0.375
gary_harris_tot_21,26.0,39,0.385,27.7,110.0,114.2,-4.2,0.102,2.11,0.036,0.511,0.164,0.053,2230,3.5,8.8,0.4
gary_payton_mil_17,24.0,6,0.333,16.5,87.5,115.3,-27.8,0.224,1.3,0.063,0.413,0.157,0.041,200,1.3,3.7,0.364
gary_payton_tot_23,30.0,22,0.591,16.7,123.7,118.3,5.4,0.106,1.88,0.096,0.701,0.101,0.076,763,1.9,3.1,0.594
gary_trent_tot_21,22.0,58,0.5,31.1,113.9,115.7,-1.8,0.067,1.86,0.04,0.534,0.204,0.071,3752,5.5,13.5,0.408
geor_hill_tot_18,32.0,67,0.418,27.0,108.5,111.8,-3.3,0.145,2.11,0.051,0.58,0.161,0.079,3633,3.5,7.7,0.46
geor_hill_tot_19,33.0,60,0.65,21.7,108.9,103.3,5.6,0.146,2.65,0.052,0.554,0.147,0.079,2760,2.8,6.3,0.452
geor_hill_tot_21,35.0,30,0.533,22.4,109.7,110.2,-0.4,0.156,2.35,0.044,0.596,0.161,0.088,1375,3.2,6.6,0.482
geor_hill_mil_22,36.0,54,0.667,23.2,112.5,100.8,11.7,0.124,2.93,0.058,0.552,0.115,0.073,2652,2.2,5.1,0.429
geor_hill_tot_23,37.0,46,0.587,18.1,108.8,106.9,1.9,0.178,3.24,0.048,0.61,0.11,0.079,1779,1.7,3.6,0.47
